ID Venda,Data da Venda,ID Produto,ID Cliente,ID Vendedor,Custo Unitário,Valor Unitário,Quantidade
1001,2025-01-02,1,4,4,15.52,11.95,26
1002,2025-01-02,1,9,9,1.95,8.35,96
1003,2026-01-01,1,3,3,3.22,11.83,72
1004,2024-01-02,1,2,2,11.85,10.02,16
1005,2024-01-02,1,7,7,21.41,10.22,80
1006,2025-01-03,1,1,1,7.82,10.02,98
1007,2025-01-03,1,3,3,6.72,11.95,62
1008,2024-01-04,1,7,7,9.7,10.02,55
1009,2024-01-05,1,8,8,2.23,10.02,81
1010,2026-01-04,1,9,9,9.91,8.35,29
1011,2025-01-05,1,6,6,8.47,10.02,56
1012,2026-01-04,1,2,2,4.76,10.02,49
1013,2024-01-05,1,1,1,2.21,10.02,65
1014,2024-01-05,1,3,3,4.47,11.95,49
1015,2025-01-05,1,8,8,7.44,10.32,31
1016,2025-01-07,1,5,5,3.25,10.02,18
1017,2026-01-06,1,4,4,1.55,11.95,97
1018,2025-01-07,1,9,9,3.03,8.35,82
1019,2024-01-07,1,5,5,9.65,10.02,91
1020,2025-01-11,1,9,9,3.46,8.35,65
1021,2025-01-12,1,7,7,5.65,10.02,52
1022,2025-01-14,1,1,1,6.43,10.02,22
1023,2025-01-14,1,6,6,6.18,10.02,11
1024,2025-01-14,1,9,9,7.63,8.35,91
1025,2024-01-14,1,1,1,4.41,10.02,114
1026,2025-01-15,1,4,4,3.99,11.95,10
1027,2024-01-15,1,8,8,12.21,10.02,24
1028,2024-01-15,1,8,8,14.78,10.02,44
1029,2024-01-15,1,8,8,8.09,10.02,79
1030,2024-01-17,1,8,8,9.17,10.02,36
1031,2026-01-17,1,8,8,4.85,10.02,101
1032,2026-01-17,1,8,8,3.82,10.02,74
1033,2025-01-18,1,8,8,33.97,10.02,103
1034,2025-01-18,1,6,6,2.42,10.02,79
1035,2026-01-18,1,8,8,3.13,10.02,101
1036,2024-01-19,1,3,3,11.18,11.95,39
1037,2026-01-18,1,3,3,5.18,11.95,76
1038,2025-01-20,1,5,5,4.38,10.02,112
1039,2026-01-19,1,3,3,14.38,11.95,75
1040,2024-01-21,1,9,9,10.01,8.35,17
1041,2025-01-22,1,1,1,22.45,10.02,112
1042,2026-01-21,1,6,6,5.74,10.02,64
1043,2025-01-23,1,1,1,8.54,10.02,10
1044,2026-01-22,1,5,5,5.23,10.02,36
1045,2026-01-23,1,2,2,3.17,10.02,114
1046,2025-01-24,1,9,9,5.34,8.35,113
1047,2025-01-24,1,4,4,10.02,11.95,42
1048,2024-01-24,1,2,2,27.42,10.02,38
1049,2025-01-25,1,2,2,3.95,10.02,79
1050,2026-01-24,1,2,2,5.12,10.02,47
1051,2025-01-25,1,8,8,2.68,10.02,72
1052,2025-01-27,1,9,9,8.29,8.35,68
1053,2026-01-28,1,9,9,10.57,8.35,75
1054,2025-01-30,1,2,2,12.71,10.02,12
1055,2025-01-31,1,9,9,5.42,8.35,74
1056,2024-02-01,1,8,8,5.31,10.02,71
1057,2026-01-31,1,1,1,9.14,10.02,65
1058,2025-02-01,1,8,8,2.84,10.02,15
1059,2025-02-02,1,9,9,1.93,8.35,40
1060,2026-02-01,1,7,7,7.84,10.02,24
1061,2025-02-02,1,6,6,19.97,10.02,80
1062,2025-02-03,1,4,4,3.41,11.95,35
1063,2026-02-03,1,1,1,7.2,10.02,18
1064,2024-02-05,1,8,8,12.92,10.02,27
1065,2024-02-05,1,7,7,8.39,10.02,22
1066,2025-02-06,1,8,8,2.7,10.02,51
1067,2024-02-06,1,4,4,5.08,11.95,59
1068,2026-02-06,1,9,9,2.49,8.35,101
1069,2026-02-06,1,8,8,13.58,10.02,112
1070,2025-02-09,1,2,2,6.95,10.02,36
1071,2025-02-09,1,8,8,13.36,10.02,78
1072,2025-02-09,1,8,8,4.61,10.02,67
1073,2026-02-08,1,4,4,2.34,11.95,61
1074,2026-02-10,1,1,1,8.32,10.02,109
1075,2026-02-11,1,8,8,2.3,10.02,113
1076,2024-02-12,1,5,5,6.34,10.02,113
1077,2026-02-12,1,1,1,5.61,10.02,76
1078,2024-02-15,1,4,4,8.28,11.95,53
1079,2025-02-16,1,3,3,3.79,11.95,74
1080,2024-02-16,1,8,8,7.16,10.02,68
1081,2025-02-17,1,5,5,6.61,10.02,66
1082,2024-02-19,1,5,5,17.38,10.02,31
1083,2025-02-19,1,4,4,13.46,11.95,80
1084,2024-02-20,1,5,5,6.91,10.02,100
1085,2024-02-21,1,4,4,4.58,11.95,92
1086,2026-02-20,1,4,4,4.93,11.95,90
1087,2024-02-22,1,8,8,4.12,10.02,59
1088,2025-02-24,1,5,5,2.97,10.02,80
1089,2025-02-25,1,1,1,35.5,10.02,16
1090,2025-02-26,1,6,6,3.59,10.02,59
1091,2025-02-26,1,4,4,10.64,11.95,89
1092,2026-02-26,1,8,8,3.24,10.02,115
1093,2026-02-27,1,1,1,5.33,10.02,81
1094,2026-02-27,1,3,3,14.41,11.95,17
1095,2026-02-27,1,3,3,8.75,11.95,102
1096,29/02/2025,1,9,9,3.23,8.35,58
1097,2024-03-02,1,3,3,4.05,11.95,18
1098,2024-03-04,1,6,6,7.04,10.02,74
1099,2026-03-03,1,6,6,6.66,10.02,64
1100,2025-03-04,1,6,6,7.75,10.02,55
1101,2024-03-05,1,6,6,11.72,10.02,16
1102,2025-03-04,1,4,4,5.77,11.95,39
1103,2026-03-05,1,9,9,11.45,8.35,35
1104,2026-03-06,1,2,2,13.03,10.02,36
1105,2026-03-07,1,8,8,6.27,10.02,60
1106,2024-03-08,1,1,1,9.83,10.02,27
1107,2025-03-07,1,2,2,6.7,10.02,78
1108,2025-03-08,1,5,5,21.06,10.02,101
1109,2026-03-09,1,2,2,9.44,10.02,10
1110,2026-03-09,1,3,3,11.23,11.95,41
1111,2025-03-10,1,7,7,7.11,10.02,112
1112,2024-03-11,1,5,5,8.26,10.02,71
1113,2025-03-10,1,2,2,4.03,10.02,71
1114,2026-03-11,1,6,6,6.91,10.02,11
1115,2024-03-13,1,4,4,15.54,11.95,89
1116,2025-03-14,1,9,9,4.89,8.35,35
1117,2025-03-14,1,2,2,2.46,10.02,63
1118,2024-03-15,1,6,6,12.34,10.02,36
1119,2025-03-15,1,7,7,3.68,10.02,43
1120,2024-03-17,1,9,9,10.14,8.35,110
1121,2026-03-16,1,8,8,15.68,10.02,55
1122,2026-03-17,1,1,1,23.56,10.02,94
1123,2024-03-20,1,4,4,6.1,11.95,38
1124,2025-03-20,1,4,4,4.91,11.95,75
1125,2025-03-21,1,3,3,23.53,11.95,25
1126,2025-03-22,1,3,3,4.3,11.95,31
1127,2024-03-23,1,8,8,8.48,10.02,68
1128,2024-03-23,1,4,4,5.54,11.95,12
1129,2024-03-23,1,7,7,2.33,10.02,115
1130,2026-03-23,1,6,6,4.99,10.02,77
1131,2024-03-25,1,1,1,3.15,10.02,75
1132,2026-03-25,1,8,8,2.38,10.02,110
1133,2025-03-26,1,9,9,14.68,8.35,59
1134,2025-03-27,1,9,9,3.9,8.35,39
1135,2024-03-28,1,6,6,11.68,10.02,96
1136,2025-03-27,1,4,4,6.16,11.95,95
1137,2024-03-28,1,4,4,4.39,11.95,47
1138,2024-03-30,1,7,7,3.39,10.02,102
1139,2025-03-31,1,6,6,24.93,10.02,51
1140,2025-03-31,1,3,3,16.37,11.95,112
1141,2026-03-31,1,1,1,4.42,10.02,30
1142,2025-04-01,1,6,6,0.91,10.02,56
1143,2024-04-02,1,9,9,10.94,8.35,17
1144,2026-04-01,1,6,6,25.89,10.02,68
1145,2026-04-02,1,7,7,7.21,10.02,63
1146,2024-04-04,1,7,7,9.35,10.02,87
1147,2024-04-05,1,7,7,4.21,10.02,65
1148,2024-04-06,1,5,5,2.24,10.02,47
1149,2024-04-06,1,5,5,1.83,10.02,14
1150,2025-04-06,1,9,9,9.09,8.35,113
1151,2024-04-07,1,8,8,13.67,10.02,113
1152,2025-04-06,1,6,6,12.3,10.02,90
1153,2024-04-07,1,4,4,15.18,11.95,107
1154,2026-04-06,1,9,9,7.96,8.35,23
1155,2025-04-07,1,9,9,19.23,8.35,10
1156,2026-04-07,1,4,4,6.05,11.95,69
1157,2024-04-09,1,9,9,10.6,8.35,88
1158,2026-04-09,1,2,2,5.47,10.02,19
1159,2026-04-09,1,8,8,2.97,10.02,107
1160,2024-04-11,1,5,5,2.87,10.02,89
1161,2025-04-10,1,9,9,9.74,8.35,61
1162,2026-04-10,1,3,3,11.28,11.95,109
1163,2024-04-12,1,9,9,8.13,8.35,54
1164,2025-04-12,1,6,6,3.84,10.02,43
1165,2026-04-12,1,6,6,9.48,10.02,63
1166,2026-04-13,1,7,7,13.58,10.02,88
1167,2025-04-13,1,3,3,6.27,11.95,30
1168,2024-04-14,1,3,3,5.07,11.95,63
1169,2025-04-14,1,2,2,6.84,10.02,106
1170,2025-04-15,1,1,1,4.96,10.02,50
1171,2026-04-16,1,7,7,13.41,10.02,51
1172,2026-04-16,1,3,3,6.13,11.95,15
1173,2024-04-17,1,5,5,5.11,10.02,24
1174,2026-04-17,1,6,6,3.65,10.02,80
1175,2025-04-17,1,3,3,20.59,11.95,61
1176,2025-04-22,1,8,8,7.65,10.02,104
1177,2024-04-24,1,3,3,10.66,11.95,88
1178,2026-04-23,1,3,3,7.22,11.95,57
1179,2026-04-23,1,9,9,11.48,8.35,63
1180,2025-04-24,1,4,4,4.37,11.95,89
1181,2025-04-26,1,8,8,4.47,10.02,104
1182,2024-04-29,1,3,3,7.13,11.95,105
1183,2026-04-29,1,4,4,5.12,11.95,100
1184,2024-04-30,1,1,1,12.08,10.02,82
1185,2026-05-01,1,2,2,22.1,10.02,110
1186,2024-05-03,1,9,9,5.41,8.35,51
1187,2025-05-05,1,5,5,9.48,10.02,81
1188,2026-05-05,1,1,1,3.09,10.02,46
1189,2024-05-06,1,7,7,10.67,10.02,42
1190,2026-05-06,1,4,4,11.19,11.95,50
1191,2026-05-06,1,5,5,1.44,10.02,30
1192,2025-05-07,1,3,3,4.96,11.95,99
1193,2026-05-08,1,6,6,8.98,10.02,106
1194,2025-05-09,1,9,9,9.79,8.35,80
1195,2025-05-10,1,2,2,27.93,10.02,55
1196,2026-05-10,1,4,4,6.47,11.95,51
1197,2024-05-13,1,7,7,4.51,10.02,22
1198,2025-05-12,1,4,4,4.84,11.95,104
1199,2026-05-12,1,8,8,9.7,10.02,85
1200,2024-05-14,1,8,8,13.93,10.02,41
1201,2024-05-15,1,4,4,13.54,11.95,46
1202,2024-05-15,1,8,8,15.76,10.02,71
1203,2024-05-17,1,1,1,14.81,10.02,96
1204,2025-05-17,1,7,7,2.79,10.02,21
1205,2026-05-17,1,7,7,11.82,10.02,53
1206,2025-05-18,1,5,5,11.1,10.02,46
1207,2025-05-18,1,6,6,13.25,10.02,35
1208,2026-05-18,1,2,2,12.72,10.02,47
1209,2025-05-19,1,6,6,4.47,10.02,57
1210,2024-05-21,1,4,4,11.71,11.95,14
1211,2026-05-20,1,2,2,6.28,10.02,20
1212,2024-05-21,1,4,4,33.94,11.95,20
1213,2025-05-21,1,8,8,3.19,10.02,101
1214,2024-05-23,1,5,5,7.88,10.02,41
1215,2026-05-23,1,6,6,10.84,10.02,46
1216,2025-05-23,1,1,1,9.67,10.02,26
1217,2025-05-24,1,9,9,6.15,8.35,77
1218,2024-05-27,1,3,3,3.74,11.95,10
1219,2024-05-28,1,3,3,19.92,11.95,37
1220,2026-05-29,1,6,6,3.6,10.02,104
1221,2025-05-29,1,1,1,4.47,10.02,107
1222,2025-05-31,1,5,5,14.53,10.02,75
1223,2024-06-01,1,9,9,8.94,8.35,81
