ID Venda,Data da Venda,ID Produto,ID Cliente,ID Vendedor,Custo Unitário,Valor Unitário,Quantidade
1001,2025-08-25,9,3,3,923.06,1436.12,20
1002,2024-07-27,9,9,3,788.47,1432.12,20
1003,2024-07-26,6,2,7,304.26,489.12,5
1004,2025-10-24,1,5,9,1313.33,1919.26,7
1005,2024-02-21,2,5,1,308.31,580.42,15
1006,2024-05-17,5,7,2,161.96,355.02,8
1007,2024-01-23,5,3,8,152.08,347.55,7
1008,2024-03-19,6,3,8,329.19,465.36,6
1009,2024-09-25,9,4,9,831.14,1363.92,20
1010,2024-05-20,3,6,8,2573.57,4363.51,19
1011,2024-04-11,8,3,4,49.27,98.17,10
1012,2024-03-22,7,3,5,84.96,192.5,10
1013,2024-12-21,2,5,8,316.35,580.36,20
1014,2025-03-19,9,6,1,874.77,1397.67,4
1015,2025-10-16,4,5,1,292.8,444.58,11
1016,2024-10-04,4,8,6,300.87,447.94,14
1017,2025-09-24,2,7,1,288.92,573.87,10
1018,2024-05-24,7,4,7,84.95,187.51,13
1019,2025-12-26,9,7,3,839.86,1447.41,2
1020,2024-05-02,5,1,4,146.18,334.55,5
1021,2024-12-26,4,8,3,257.4,468.65,14
1022,2024-01-14,5,6,2,161.16,364.71,15
1023,2024-01-15,8,9,1,44.3,96.06,16
1024,2024-09-05,5,2,5,158.19,347.43,7
1025,2025-05-26,5,4,6,138.71,363.79,8
1026,2025-07-13,7,8,7,81.5,195.61,9
1027,2024-10-21,2,7,8,297.79,598.87,11
1028,2025-05-15,1,4,4,1228.09,1815.65,10
1029,2024-07-17,2,1,4,327.83,586.09,19
1030,2025-04-12,5,5,2,155.76,344.21,1
1031,2024-01-12,3,8,8,2743.16,4215.26,16
1032,2024-09-24,3,2,2,2476.99,4114.31,7
1033,2025-11-27,9,9,9,837.35,1467.16,11
1034,2024-09-30,9,9,3,857.75,1380.3,5
1035,2025-09-22,3,9,5,2723.61,4017.73,15
1036,2024-03-30,9,7,6,887.44,1378.39,3
1037,2025-02-10,1,7,5,1167.24,1773.81,19
1038,2024-07-19,6,1,9,302.52,487.87,10
1039,2024-06-28,3,5,2,2545.61,4077.07,2
1040,2024-12-08,2,6,3,333.18,568.65,18
1041,2024-06-30,8,3,5,47.37,95.59,9
1042,2025-10-19,1,2,4,1233.07,1907.85,7
1043,2025-08-17,2,2,8,313.12,569.2,4
1044,2025-05-17,3,4,5,2473.1,4310.66,20
1045,2025-08-01,5,9,6,142.88,345.8,20
1046,2025-08-09,8,6,6,42.58,90.88,10
1047,2025-08-23,6,9,6,285.24,480.14,12
1048,2025-05-22,4,2,8,285.95,454.52,5
1049,2024-06-14,8,8,6,44.52,91.2,14
1050,2025-05-01,3,8,1,2672.61,4153.61,6
1051,2024-01-27,6,6,8,307.45,465.82,2
1052,2025-07-09,2,6,8,327.92,591.21,18
1053,2024-12-04,5,5,9,158.83,352.03,12
1054,2024-09-01,1,7,7,1260.68,1845.31,3
1055,2024-12-17,8,9,9,43.45,99.71,10
1056,2025-08-08,1,5,8,1303.09,1818.32,15
1057,2025-10-04,5,1,8,157.72,362.46,1
1058,2024-08-09,6,6,3,284.85,459.02,8
1059,2024-05-08,7,8,7,76.95,185.79,13
1060,2024-02-21,5,5,7,153.11,341.25,16
1061,2025-06-15,1,2,7,1284.29,1798.29,7
1062,2024-03-26,4,5,7,304.72,461.19,5
1063,2024-10-05,8,3,6,45.71,95.68,13
1064,2025-02-25,7,9,6,79.64,180.72,13
1065,2025-01-16,7,9,9,84.08,180.92,1
1066,2024-11-16,2,5,5,301.04,594.27,4
1067,2025-08-29,8,9,9,46.13,97.97,5
1068,2025-08-07,5,4,6,147.74,362.08,8
1069,2024-03-23,1,4,1,1275.5,1766.98,13
1070,2025-06-05,6,9,7,302.76,502.84,8
1071,2025-06-21,6,5,9,290.93,503.05,11
1072,2024-02-17,2,2,7,327.77,597.89,1
1073,2024-06-09,4,4,2,290.62,465.05,4
1074,2025-08-08,3,4,3,2486.23,4150.01,17
1075,2024-01-03,3,8,2,2361.97,4258.27,20
1076,2025-06-17,7,2,4,78.93,193.47,14
1077,2024-06-12,1,1,5,1174.43,1784.37,14
1078,2024-10-06,2,4,4,291.31,579.95,12
1079,2024-09-09,4,2,6,306.97,441.42,3
1080,2024-10-16,9,3,3,900.56,1442.51,1
1081,2024-04-25,1,5,6,1268.8,1876.69,13
1082,2024-10-06,9,5,5,853.01,1460.29,13
1083,2024-01-09,8,6,5,44.74,92.27,16
1084,2025-04-04,3,4,1,2379.37,4278.62,5
1085,2025-07-03,4,7,2,273.18,465.14,15
1086,2025-09-22,3,8,1,2425.63,4037.13,20
1087,2024-11-03,1,9,8,1315.74,1775.53,17
1088,2025-02-22,5,2,9,151.9,334.06,14
1089,2024-03-11,3,6,7,2438.66,4361.14,7
1090,2025-05-18,5,7,4,149.08,341.48,8
1091,2024-03-22,6,2,9,287.5,487.38,14
1092,2025-11-13,6,8,6,286.16,472.04,11
1093,2025-12-31,9,9,4,802.87,1448.73,7
1094,2024-02-02,1,8,3,1161.18,1849.17,16
1095,2025-01-12,2,5,8,347.69,571.27,8
1096,2024-01-18,1,4,3,1176.04,1833.61,3
1097,2024-11-06,5,1,3,135.61,363.83,18
1098,2025-03-20,9,3,9,817.19,1432.44,20
1099,2024-12-19,5,8,2,140.25,348.7,9
1100,2024-03-09,4,8,9,285.28,468.99,10
1101,2024-12-22,3,6,1,2394.04,4114.6,5
1102,2024-03-30,7,6,1,74.2,189.72,18
1103,2024-08-12,1,3,6,1263.84,1802.31,11
1104,2025-08-03,9,1,4,851.03,1419.86,18
1105,2024-04-06,1,2,6,1230.86,1934.58,6
1106,2024-05-04,1,1,2,1191.24,1765.24,1
1107,2025-11-23,9,9,8,815.7,1393.5,3
1108,2025-09-01,1,3,8,1238.51,1773.71,13
1109,2025-06-09,4,6,9,302.86,446.54,4
1110,2025-06-11,4,6,4,296.38,442.04,12
1111,2025-01-06,9,5,2,792.65,1466.82,12
1112,2025-03-26,6,4,7,270.03,499.69,17
1113,2025-12-09,8,4,9,42.58,93.02,15
1114,2024-12-05,5,5,1,137.47,336.44,17
1115,2025-07-09,2,4,8,300.21,593.96,4
1116,2025-08-12,6,6,9,291.8,503.93,17
1117,2024-03-31,2,9,9,336.1,585.84,7
1118,2024-04-13,9,3,1,835.59,1427.98,7
1119,2024-12-08,7,3,7,74.06,196.86,12
1120,2025-05-10,2,9,8,296.5,583.51,4
1121,2024-06-19,8,5,5,46.83,98.11,9
1122,2025-02-18,2,3,2,307.6,552.9,12
1123,2024-01-01,8,4,2,45.7,94.96,20
1124,2025-08-29,9,3,6,911.92,1442.88,16
1125,2024-09-30,6,7,5,300.47,481.18,7
1126,2024-12-03,7,3,9,78.69,183.12,18
1127,2025-10-11,7,3,6,83.31,182.03,10
1128,2025-01-18,1,5,5,1172.14,1757.92,19
1129,2025-06-08,1,4,4,1145.07,1883.96,2
1130,2024-09-25,4,8,7,268.7,440.58,1
1131,2024-05-23,9,5,2,916.07,1447.72,2
1132,2025-04-29,7,3,2,74.85,184.87,2
1133,2025-05-24,6,4,4,278.54,479.9,8
1134,2025-12-10,4,6,8,307.59,434.76,10
1135,2025-01-17,9,6,7,772.9,1355.52,6
1136,2025-03-17,9,6,8,798.07,1382.73,20
1137,2025-02-21,2,8,8,299.04,591.15,7
1138,2025-10-13,3,8,6,2373.67,4248.19,6
1139,2024-08-01,7,9,4,85.26,183.9,12
1140,2025-08-07,2,5,2,317.95,593.63,3
1141,2025-07-08,4,6,9,285.24,458.48,14
1142,2025-08-19,9,3,8,928.69,1453.74,2
1143,2024-04-28,5,9,7,142.63,337.21,5
1144,2025-06-16,8,3,4,44.34,99.71,13
1145,2025-07-18,6,7,5,293.8,489.35,9
1146,2025-07-27,5,5,7,163.17,342.59,1
1147,2025-03-13,3,7,5,2675.27,4007.64,6
1148,2025-07-21,3,2,3,2314.21,4036.95,3
1149,2025-10-17,3,8,4,2458.5,4080.57,7
1150,2025-03-06,5,2,8,138.27,336.63,8
1151,2025-04-15,4,4,1,258.62,439.21,10
1152,2025-07-19,6,5,5,274.88,462.2,11
1153,2025-10-10,4,9,2,280.79,452.93,7
1154,2024-02-17,6,6,4,288.21,488.5,5
1155,2025-10-17,5,4,4,145.44,355.49,15
1156,2025-07-12,5,5,1,138.95,340.57,13
1157,2025-02-18,6,8,2,298.46,484.37,11
1158,2024-02-16,5,4,5,145.34,340.71,18
1159,2025-05-18,8,1,2,49.26,99.32,15
1160,2025-12-27,8,5,4,45.79,91.51,19
1161,2024-08-13,4,7,7,289.46,428.59,19
1162,2025-01-10,3,5,6,2503.7,4112.6,5
1163,2025-06-09,1,6,4,1253.81,1759.72,9
1164,2025-11-14,7,4,1,81.14,184.69,7
1165,2024-05-23,8,3,8,43.77,93.8,7
1166,2025-10-02,6,3,9,295.64,467.97,15
1167,2025-09-03,2,9,4,327.96,601.35,15
1168,2025-02-27,9,9,4,832.53,1438.54,6
1169,2025-08-25,8,9,9,44.62,93.39,20
1170,2024-07-26,3,8,2,2680.64,4302.52,4
1171,2024-04-20,5,6,6,137.4,342.85,8
1172,2024-02-10,1,7,4,1287.32,1929.31,20
1173,2024-01-07,2,6,1,316.35,583.48,8
1174,2024-01-13,6,3,8,294.65,497.03,18
1175,2024-04-04,3,1,4,2732.89,4074.43,4
1176,2025-11-23,8,9,5,47.66,97.1,19
1177,2025-02-01,3,5,8,2377.81,4183.64,11
1178,2024-07-14,3,7,7,2535.63,4331.12,15
1179,2024-11-11,6,5,9,298.72,461.59,11
1180,2025-09-27,3,7,7,2405.68,4063.8,2
1181,2024-08-11,1,9,8,1242.11,1794.93,20
1182,2024-11-10,3,7,8,2666.26,4356.36,6
1183,2024-12-13,2,8,6,336.16,562.59,15
1184,2024-12-05,6,2,7,299.81,493.03,14
1185,2025-01-13,1,4,9,1301.43,1882.11,3
1186,2024-12-27,3,9,6,2414.18,4157.55,10
1187,2024-05-22,4,5,6,279.62,443.18,4
1188,2024-03-15,5,4,4,160.11,340.45,4
1189,2024-10-18,4,3,1,254.44,439.35,14
1190,2025-06-20,3,5,9,2535.91,4132.64,15
1191,2024-03-06,8,4,7,44.6,91.99,3
1192,2024-09-25,2,9,7,333.91,584.99,16
1193,2024-09-11,8,8,4,49.42,93.91,10
1194,2025-07-24,4,7,4,300.96,470.23,11
1195,2025-05-26,4,2,2,282.46,449.78,10
1196,2025-07-21,1,5,1,1151.4,1783.01,14
1197,2024-09-01,8,6,8,46.82,90.93,14
1198,2024-03-23,3,5,7,2526.43,4208.27,20
1199,2024-02-06,5,5,6,156.52,352.51,17
1200,2024-01-29,4,4,7,293.64,472.09,5
1201,2024-02-07,7,5,7,81.95,193.86,10
1202,2024-02-20,3,7,4,2632.59,4216.49,20
1203,2025-05-22,5,3,9,152.71,360.13,6
1204,2024-09-13,2,4,7,341.46,558.27,13
1205,2024-02-04,1,2,1,1182.49,1810.89,17
1206,2025-02-04,3,1,7,2668.37,4249.19,4
1207,2024-05-21,8,1,1,41.41,94.94,3
1208,2024-09-19,4,9,7,259.4,463.27,19
1209,2025-06-29,4,1,4,287.68,469.2,9
1210,2025-01-16,8,1,7,48.5,92.0,9
1211,2024-04-06,9,7,5,841.63,1349.66,7
1212,2025-10-11,7,6,3,75.62,194.27,8
1213,2024-07-30,7,9,4,86.66,184.96,4
1214,2024-08-01,3,9,2,2456.67,4254.74,8
1215,2025-04-11,1,4,2,1196.75,1814.63,9
1216,2025-06-11,5,4,6,151.0,344.66,6
1217,2024-06-08,4,6,2,260.25,445.02,20
1218,2025-10-12,1,2,2,1138.46,1871.61,17
1219,2024-08-06,8,2,1,41.76,94.72,6
1220,2025-11-09,9,5,3,919.73,1377.81,13
1221,2024-10-22,6,1,2,323.56,457.38,11
1222,2025-10-04,7,3,3,74.32,194.67,3
1223,2025-02-18,4,9,4,257.86,464.66,1
1224,2025-01-16,8,7,6,48.95,95.39,17
1225,2024-04-30,2,8,3,290.04,574.13,9
1226,2025-11-16,2,1,5,297.8,573.33,19
1227,2025-04-25,3,4,3,2369.55,4407.24,8
1228,2025-02-03,4,4,3,279.33,463.67,4
1229,2025-02-17,4,5,9,260.48,463.02,12
1230,2025-03-26,2,6,6,313.38,605.84,18
1231,2024-05-04,9,4,3,792.49,1469.69,18
1232,2025-09-19,8,7,5,43.87,96.23,14
1233,2024-12-05,6,1,8,313.04,496.04,7
1234,2025-08-07,1,2,4,1143.76,1827.04,15
1235,2024-02-12,1,3,4,1197.33,1887.2,5
1236,2024-04-25,1,5,7,1092.67,1781.73,11
1237,2025-11-20,1,6,6,1196.43,1900.59,3
1238,2025-10-18,9,7,1,904.46,1377.2,10
1239,2025-02-27,8,1,4,41.43,94.09,18
1240,2025-09-09,7,8,6,83.74,192.39,11
1241,2025-02-05,2,1,8,332.74,565.2,3
1242,2024-05-10,4,2,1,255.2,443.71,10
1243,2025-04-19,1,9,1,1219.58,1758.05,3
1244,2025-07-13,5,5,8,158.54,340.84,3
1245,2025-12-02,2,9,4,288.47,553.7,17
1246,2025-07-22,6,1,6,311.39,493.75,8
1247,2024-07-21,1,3,4,1265.77,1915.64,15
1248,2025-07-23,3,4,6,2592.16,4144.87,8
1249,2025-05-27,6,3,7,319.5,473.36,9
